gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1147040533	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	0bd79ca1-260b-4dd6-a422-36c4cfd346fd	Animalia	Chordata	Mammalia	Primates	Hylobatidae	Hylobates	Hylobates albibarbis		SPECIES	Hylobates albibarbis Lyon, 1911	MY	Danum Valley Field Centre; 600 m on grid trail system.	e2e717bf-551a-4917-bdc9-4fa0f342c530	4.9634	117.8028							2013-05-01T02:00Z	1	5	2013	5707402	5707402	MACHINE_OBSERVATION	CLO	ML	201937			CC0_1_0		Richard C Hoyer		NATIVE	2016-08-04T05:29Z		
1147070154	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	2e3d4e20-18ce-4540-807a-2ddaf2375377	Animalia	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo pygmaeus	wurmbii	SUBSPECIES	Pongo pygmaeus subsp. wurmbii Tiedemann, 1808	ID	Gunung Palung National Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.21333	110.09533							2009-07-11T02:00Z	11	7	2009	5707418	5219532	MACHINE_OBSERVATION	CLO	ML	467072			CC0_1_0		Timothy G Laman		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147077090	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	36618633-350f-42f8-ba07-a316c81ce31b	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis		SPECIES	Macaca fascicularis (Raffles, 1821)	MY	Tawau Hills Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	4.45387	117.94833							2013-03-04T01:00Z	4	3	2013	2436603	2436603	MACHINE_OBSERVATION	CLO	ML	479273			CC0_1_0		Sophie C Orzechowski		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147112781	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	5ff9cd3f-757d-4897-b117-9678f1d19b93	Animalia	Chordata	Mammalia	Primates	Hylobatidae	Hylobates	Hylobates albibarbis		SPECIES	Hylobates albibarbis Lyon, 1911	ID	Gunung Palung National Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.21333	110.09533							2009-07-17T02:00Z	17	7	2009	5707402	5707402	MACHINE_OBSERVATION	CLO	ML	467112			CC0_1_0		Timothy G Laman		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147115332	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	62ea0bfa-7be0-4e1b-80e4-dbe2049d0f6e	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis		SPECIES	Macaca fascicularis (Raffles, 1821)	MY	Tawau Hills Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	4.45387	117.94833							2013-03-04T01:00Z	4	3	2013	2436603	2436603	MACHINE_OBSERVATION	CLO	ML	479280			CC0_1_0		Sophie C Orzechowski		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147137531	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	7cc97368-3755-472b-be43-f0c045ac2b4e	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis		SPECIES	Macaca fascicularis (Raffles, 1821)	ID	Gunung Palung National Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.21333	110.09533							2010-08-12T02:00Z	12	8	2010	2436603	2436603	MACHINE_OBSERVATION	CLO	ML	467824			CC0_1_0		Timothy G Laman		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147145834	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	866cb97c-565b-4023-9646-a763459f2a68	Animalia	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo pygmaeus	wurmbii	SUBSPECIES	Pongo pygmaeus subsp. wurmbii Tiedemann, 1808	ID	Gunung Palung National Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.21333	110.09533							2009-07-23T02:00Z	23	7	2009	5707418	5219532	MACHINE_OBSERVATION	CLO	ML	467257			CC0_1_0		Timothy G Laman		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147159288	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	95fea0e7-2cb2-48cf-83f9-d6aac18373b1	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Callosciurus	Callosciurus prevostii		SPECIES	Callosciurus prevostii (Desmarest, 1822)	ID	Gunung Palung National Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.21333	110.09533							2010-08-07T02:00Z	7	8	2010	2437397	2437397	MACHINE_OBSERVATION	CLO	ML	467800			CC0_1_0		Timothy G Laman		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147162762	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	99feedf6-ed0f-4f39-bf40-67cd4af70665	Animalia	Chordata	Mammalia	Primates	Hylobatidae				FAMILY	Hylobatidae	MY	Tawau Hills Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	4.40411	117.89235							2012-06-25T02:00Z	25	6	2012	5484		MACHINE_OBSERVATION	CLO	ML	479396			CC0_1_0		Justin M Hite		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147188170	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	b75cd86e-5b76-40ad-bb0c-35f5d1b859a5	Animalia	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo pygmaeus	wurmbii	SUBSPECIES	Pongo pygmaeus subsp. wurmbii Tiedemann, 1808	ID	Gunung Palung National Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.21333	110.09533							2009-07-17T02:00Z	17	7	2009	5707418	5219532	MACHINE_OBSERVATION	CLO	ML	467121			CC0_1_0		Timothy G Laman		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147194331	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	beac4e49-70fc-4cd7-871f-a4b36c4cfce3	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis		SPECIES	Macaca fascicularis (Raffles, 1821)	ID	Gunung Palung National Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.21333	110.09533							2010-08-07T02:00Z	7	8	2010	2436603	2436603	MACHINE_OBSERVATION	CLO	ML	467798			CC0_1_0		Timothy G Laman		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147197900	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	c2bc06a3-4cca-4bac-bf94-80298173997d	Animalia	Chordata	Mammalia	Rodentia	Sciuridae				FAMILY	Sciuridae	MY	Mount Kinbalu National Park; 1.2 km up Layang-layang trail.	e2e717bf-551a-4917-bdc9-4fa0f342c530	6.03535	116.55036							2013-04-27T02:00Z	27	4	2013	9456		MACHINE_OBSERVATION	CLO	ML	201858			CC0_1_0		Richard C Hoyer		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147224625	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	e20d4b5f-61fa-4f70-bdc9-c37ba0423bc1	Animalia	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo pygmaeus	wurmbii	SUBSPECIES	Pongo pygmaeus subsp. wurmbii Tiedemann, 1808	ID	Gunung Palung National Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.21333	110.09533							2009-07-19T02:00Z	19	7	2009	5707418	5219532	MACHINE_OBSERVATION	CLO	ML	467198			CC0_1_0		Timothy G Laman		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147233110	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	ebf79fb8-8a80-4d83-aee8-c89843d55bd8	Animalia	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo pygmaeus	wurmbii	SUBSPECIES	Pongo pygmaeus subsp. wurmbii Tiedemann, 1808	ID	Gunung Palung National Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.21333	110.09533							2009-07-11T02:00Z	11	7	2009	5707418	5219532	MACHINE_OBSERVATION	CLO	ML	467083			CC0_1_0		Timothy G Laman		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1147240864	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	f4d80a3a-e773-4422-a595-42aec38a9668	Animalia	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo pygmaeus	wurmbii	SUBSPECIES	Pongo pygmaeus subsp. wurmbii Tiedemann, 1808	ID	Gunung Palung National Park	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.21333	110.09533							2009-07-19T02:00Z	19	7	2009	5707418	5219532	MACHINE_OBSERVATION	CLO	ML	467228			CC0_1_0		Timothy G Laman		NATIVE	2016-08-04T05:29Z		COORDINATE_ROUNDED
1142102757	5a659248-1f70-11e3-b2c5-00145eb45e9a		Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Callosciurus	Callosciurus prevostii	sarawakensis	SUBSPECIES	Callosciurus prevostii subsp. sarawakensis Gray, 1867	MY	Mont Batu Song, Baram district/State of Sarawak	23539a57-1347-4dd3-af2a-cf9478563baa	3.80002	114.43997											4263768	2437397	PRESERVED_SPECIMEN	MHNG	Mammals housed at MHNG, Geneva	MHNG-MAM-669.003b			CC_BY_NC_4_0					2016-08-04T01:36Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_UNLIKELY
1292003915	3ad882bb-cd21-4201-8b83-3684bfc6d830	urn:catalog:UBCBBM:CTC:M008741	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Presbytis			GENUS	Presbytis Eschscholtz, 1821	MY	Balai Ringin	b542788f-0dc2-4a2b-b652-fceced449591	1.05	110.75							1961-04-24T01:00Z	24	4	1961	3239596		PRESERVED_SPECIMEN	UBCBBM	CTC	M008741			CC0_1_0		L.A. Charles		NATIVE	2016-08-23T15:51Z		
1211791681	c5c4a23e-2035-4416-ab64-032d6df52ddb	URI:catalog:ROM:Mammals:48265	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis muricola		SPECIES	Myotis muricola (Gray, 1846)	MY	Binatang	ff418020-1d67-11d9-8435-b8a03c50a862	2.15	111.61667							1968-01-01T01:00Z			1968	2432429	2432429	PRESERVED_SPECIMEN	ROM	Mammals	48265			CC_BY_NC_4_0	Royal Ontario Museum; ROM	Daniel			2016-08-04T15:23Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
