"species"	"decimallatitude"	"decimallongitude"	"class"
"1"	"Hylobates albibarbis"	4.9634	117.8028	"Mammalia"
"2"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"3"	"Macaca fascicularis"	4.45387	117.94833	"Mammalia"
"4"	"Hylobates albibarbis"	-1.21333	110.09533	"Mammalia"
"5"	"Macaca fascicularis"	4.45387	117.94833	"Mammalia"
"6"	"Macaca fascicularis"	-1.21333	110.09533	"Mammalia"
"7"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"8"	"Callosciurus prevostii"	-1.21333	110.09533	"Mammalia"
"9"	""	4.40411	117.89235	"Mammalia"
"10"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"11"	"Macaca fascicularis"	-1.21333	110.09533	"Mammalia"
"12"	""	6.03535	116.55036	"Mammalia"
"13"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"14"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"15"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"16"	"Callosciurus prevostii"	3.80002	114.43997	"Mammalia"
"17"	""	1.05	110.75	"Mammalia"
"18"	"Myotis muricola"	2.15	111.61667	"Mammalia"
"19"	"Cynopterus brachyotis"	2.15	111.61667	"Mammalia"
"20"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"21"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"22"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"23"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"24"	"Emballonura alecto"	3.816	113.783	"Mammalia"
"25"	"Rhinolophus borneensis"	4.033	114.883	"Mammalia"
"26"	"Cynopterus brachyotis"	2.65333	113.0515	"Mammalia"
"27"	"Hipposideros cervinus"	2.6533	113.0514	"Mammalia"
"28"	"Rhinolophus borneensis"	3.0933	113.6711	"Mammalia"
"29"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
"30"	"Penthetor lucasi"	2.6533	113.0514	"Mammalia"
"31"	"Rhinolophus philippinensis"	2.65333	113.0515	"Mammalia"
"32"	"Rhinolophus philippinensis"	2.6533	113.0514	"Mammalia"
"33"	"Penthetor lucasi"	2.6533	113.0514	"Mammalia"
"34"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
"35"	"Crocidura foetida"	2.65333	113.0515	"Mammalia"
"36"	"Rhinolophus philippinensis"	2.6533	113.0514	"Mammalia"
"37"	"Rhinolophus philippinensis"	2.6533	113.0514	"Mammalia"
"38"	"Rhinolophus borneensis"	2.6533	113.0514	"Mammalia"
"39"	"Balionycteris maculata"	2.6533	113.0514	"Mammalia"
"40"	"Macroglossus minimus"	2.65333	113.0515	"Mammalia"
"41"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
"42"	"Cynopterus brachyotis"	2.65333	113.0515	"Mammalia"
"43"	"Cynopterus brachyotis"	2.65333	113.0515	"Mammalia"
"44"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
"45"	"Myotis horsfieldii"	2.6533	113.0514	"Mammalia"
"46"	""	4.39926	117.88958	"Mammalia"
"47"	"Nasalis larvatus"	5.27971	115.5705	"Mammalia"
"48"	"Leopoldamys sabanus"	2.67	115.62	"Mammalia"
"49"	"Maxomys surifer"	2.67	115.62	"Mammalia"
"50"	"Maxomys rajah"	2.85	115.8	"Mammalia"
"51"	"Leopoldamys sabanus"	2.67	115.62	"Mammalia"
"52"	"Maxomys surifer"	2.85	115.8	"Mammalia"
"53"	"Niviventer cremoriventer"	-0.83	117	"Mammalia"
